3PBL_A_ETQ_0317,-731.255,-11.615,0.370
3PBL_A_ETQ_0318,-731.294,-12.023,0.289
3PBL_A_ETQ_0319,-731.261,-11.537,0.328
3PBL_A_ETQ_0320,-738.754,-10.473,0.336
3PBL_A_ETQ_0321,-738.438,-11.167,0.401
3PBL_A_ETQ_0322,-727.410,-11.429,0.303
3PBL_A_ETQ_0323,-699.531,-4.033,6.610
3PBL_A_ETQ_0324,-729.379,-11.430,0.319
3PBL_A_ETQ_0325,-734.154,-11.431,0.193
3PBL_A_ETQ_0326,-731.619,-12.160,0.354
3PBL_A_ETQ_0327,-739.708,-6.277,7.096
